Date,Category,Amount,Total,Type
2025-02-03,Education,15,6358,0
2025-01-15,Fun,8.0,,0
2025-01-14,Supermarket,5.0,,0
2025-01-14,Fun,15.0,,0
2025-01-14,Gym,75.0,,0
2025-01-12,Fun,9.0,,0
2025-01-12,Fuel,22.0,,0
2025-01-10,Haircut,10.0,,0
2025-01-10,Fun,27.8,,0
2025-01-10,Health,69.1,,0
2025-01-09,Me,7.0,,0
2025-01-09,Supermarket,3.2,,0
2025-01-09,Hobies,2.0,,0
2025-01-09,Fun,22.0,,0
2025-01-09,Fun,4.6,,0
2025-01-09,Job,890.0,,1
2025-01-07,Supermarket,62.5,,0
2025-01-07,Health,20.0,,0
2025-01-07,Supermarket,4.6,,0
2025-01-07,Health,4.0,,0
2025-01-07,Building fees,25.0,,0
2025-01-07,Supermarket,5.3,,0
2025-01-07,Electricity,31.0,,0
2025-01-06,Fun,5.0,,0
2025-01-05,Other,3.1,,0
2025-01-05,Fun,17.0,,0
2025-01-05,Supermarket,6.0,,0
2025-01-04,Fun,20.0,,0
2025-01-02,Vodafone,10.0,,0
2025-01-02,Rent,207.0,,0
2025-01-02,Fun,2.2,,0
2025-01-02,Subscriptions,25.0,,0
2025-01-02,Fuel,26.0,,0
2024-12-31,Job,706.0,,1
2024-12-31,Fun,45.0,,0
2024-12-30,Fun,7.0,,0
2024-12-28,Gifts,28.0,,0
2024-12-28,Supermarket,23.0,,0
2024-12-28,Fun,10.0,,0
2024-12-28,Fun,7.0,,0
2024-12-28,Mprikis,16.0,,0
2024-12-28,Supermarket,27.0,,0
2024-12-27,Supermarket,12.0,,0
2024-12-26,Gifts,50.0,,0
2024-12-26,Fun,12.0,,0
2024-12-26,Subscriptions,25.0,,0
2024-12-25,Fun,2.2,,0
2024-12-25,Fun,14.0,,0
2024-12-25,Supermarket,5.0,,0
2024-12-25,Supermarket,0.5,,0
2024-12-25,Fun,7.0,,0
2024-12-23,Allowance,80.0,,1
2024-12-23,Gifts,48.0,,0
2024-12-22,Me,39.0,,0
2024-12-22,Other,100.0,,0
2024-12-22,Dad,100.0,,1
2024-12-22,Fun,5.0,,0
2024-12-22,Gifts,30.0,,0
2024-12-22,Fun,11.0,,0
2024-12-22,Fun,5.0,,0
2024-12-21,Me,116.0,,0
2024-12-21,Fun,17.0,,0
2024-12-20,Supermarket,6.0,,0
2024-12-20,Job,937.0,,1
2024-12-20,Fun,1.5,,0
2024-12-20,Me,12.0,,0
2024-12-20,Me,64.0,,0
2024-12-19,Fun,3.0,,0
2024-12-19,Mprikis,7.5,,0
2024-12-19,Job,733.0,,1
2024-12-19,Supermarket,25.5,,0
2024-12-19,Subscriptions,5.0,,0
2024-12-18,Fun,14.0,,0
2024-12-18,Gym,6.0,,0
2024-12-18,Health,12.0,,0
2024-12-18,Fuel,20.0,,0
2024-12-18,Haircut,10.0,,0
2024-12-17,Lena,50.0,,1
2024-12-17,Supermarket,23.5,,0
2024-12-16,Education,12.0,,0
2024-12-16,Supermarket,23.0,,0
2024-12-16,Fun,3.0,,0
2024-12-15,Vacation,112.0,,0
2024-12-15,Vacation,10.0,,0
2024-12-15,Vacation,8.0,,0
2024-12-15,Fun,5.0,,0
2024-12-15,Vacation,5.0,,0
2024-12-15,Vacation,14.0,,0
2024-12-13,Me,200.0,,0
2024-12-13,Gifts,26.0,,0
2024-12-13,Vacation,20.0,,0
2024-12-11,Vacation,7.0,,0
2024-12-11,Mprikis,12.0,,0
2024-12-11,Supermarket,17.0,,0
2024-12-11,Fun,5.0,,0
2024-12-11,Me,7.0,,0
2024-12-10,Fun,16.0,,0
2024-12-10,Education,20.0,,0
2024-12-10,Gym,90.0,,0
2024-12-10,Fun,4.0,,0
2024-12-10,Fun,4.2,,0
2024-12-08,Fun,25.0,,0
2024-12-07,Mom,100.0,,1
2024-12-07,Fun,13.0,,0
2024-12-07,Fun,20.0,,0
2024-12-07,Family,400.0,,0
2024-12-07,Fuel,21.0,,0
2024-12-06,Water,11.0,,0
2024-12-06,Building fees,22.5,,0
2024-12-06,Electricity,43.0,,0
2024-12-06,Supermarket,27.0,,0
2024-12-06,Fun,10.0,,0
2024-12-05,Supermarket,20.0,,0
2024-12-04,Fun,13.0,,0
2024-12-03,Fun,7.0,,0
2024-12-03,Rent,55.0,,0
2024-12-03,Fun,12.0,,0
2024-12-03,Fun,5.0,,0
2024-12-02,Job,890.0,,1
2024-12-02,Other,24.0,,0
2024-12-02,Vodafone,10.0,,0
2024-12-02,Fun,5.0,,0
2024-12-02,Parking,30.0,,0
2024-12-01,Subscriptions,24.0,,0
2024-12-01,Rent,262.0,,0
2024-12-01,Fun,18.0,,0
2024-12-01,Fun,21.0,,0
2024-12-01,Fun,4.0,,0
2024-12-01,Fun,8.0,,0
2024-11-29,Job,706.0,,1
2024-11-28,Fun,32.0,,0
2024-11-27,Supermarket,25.0,,0
2024-11-26,Gifts,27.0,,0
2024-11-26,Supermarket,9.5,,0
2024-11-26,Gifts,34.0,,0
2024-11-26,Fuel,20.0,,0
2024-11-26,Haircut,10.0,,0
2024-11-24,Fun,6.0,,0
2024-11-23,Fun,13.5,,0
2024-11-23,Mprikis,50.0,,0
2024-11-23,Health,4.5,,0
2024-11-23,Supermarket,33.5,,0
2024-11-22,Supermarket,6.0,,0
2024-11-22,Supermarket,10.0,,0
2024-11-22,Me,200.0,,0
2024-11-22,Fun,6.0,,0
2024-11-22,Fun,10.0,,0
2024-11-22,Supermarket,2.5,,0
2024-11-21,Supermarket,14.0,,0
2024-11-20,Other,42.0,,0
2024-11-20,Health,12.0,,0
2024-11-18,Fuel,25.0,,0
2024-11-18,Health,20.0,,0
2024-11-18,Gym,5.0,,0
2024-11-17,Supermarket,12.0,,0
2024-11-17,Other,2.5,,0
2024-11-17,Fun,5.0,,0
2024-11-17,Fun,9.5,,0
2024-11-16,Fun,7.0,,0
2024-11-16,Subscriptions,4.5,,0
2024-11-15,Fun,12.0,,0
2024-11-15,Supermarket,7.5,,0
2024-11-14,Fun,15.0,,0
2024-11-13,Fun,5.0,,0
2024-11-11,Gym,100.0,,0
2024-11-11,Supermarket,34.0,,0
2024-11-11,Supermarket,6.0,,0
2024-11-11,Health,11.0,,0
2024-11-09,Supermarket,15.2,,0
2024-11-09,Fuel,20.0,,0
2024-11-08,Fun,22.0,,0
2024-11-08,Haircut,10.0,,0
2024-11-08,Fun,6.0,,0
2024-11-08,Vacation,230.0,,0
2024-11-08,Supermarket,9.0,,0
2024-11-07,Supermarket,13.2,,0
2024-11-06,Fun,15.0,,0
2024-11-06,Supermarket,8.5,,0
2024-11-05,Supermarket,17.0,,0
2024-11-05,Electricity,31.0,,0
2024-11-05,Building fees,24.0,,0
2024-11-05,Fun,4.0,,0
2024-11-05,Me,5.0,,0
2024-11-05,Supermarket,5.5,,0
2024-11-05,Mprikis,12.0,,0
2024-11-04,Fun,6.0,,0
2024-11-03,Fun,15.0,,0
2024-11-03,Subscriptions,25.0,,0
2024-11-02,Other,214.0,,0
2024-11-01,Parking,30.0,,0
2024-11-01,Fun,32.0,,0
2024-11-01,Rent,262.0,,0
2024-10-31,Supermarket,3.0,,0
2024-10-31,Supermarket,10.0,,0
2024-10-31,Other,30.0,,0
2024-10-31,Gifts,19.0,,0
2024-10-31,Fun,2.2,,0
2024-10-31,Job,1600.0,,1
2024-10-31,Fun,6.0,,0
2024-10-31,Supermarket,35.0,,0
2024-10-31,Supermarket,27.0,,0
2024-10-31,Other,30.0,,0
2024-10-30,Other,30.0,,0
2024-10-30,Fun,18.0,,0
2024-10-29,Fun,5.0,,0
2024-10-29,Fun,6.7,,0
2024-10-28,Fun,25.0,,0
2024-10-27,Fun,18.0,,0
2024-10-27,Fun,12.0,,0
2024-10-26,Other,200.0,,0
2024-10-25,Fun,24.0,,0
2024-10-25,Fun,22.0,,0
2024-10-24,Fun,25.0,,0
2024-10-23,Fun,11.0,,0
2024-10-22,Health,10.5,,0
2024-10-22,Vodafone,30.0,,0
2024-10-22,Supermarket,9.0,,0
2024-10-22,Supermarket,25.0,,0
2024-10-22,Supermarket,29.0,,0
2024-10-21,Mprikis,5.0,,0
2024-10-21,Other,250.0,,0
2024-10-21,Health,22.0,,0
2024-10-21,Me,30.0,,0
2024-10-21,Fun,2.0,,0
2024-10-21,Gym,11.0,,0
2024-10-19,Fun,7.0,,0
2024-10-19,Supermarket,25.0,,0
2024-10-19,Fun,31.0,,0
2024-10-19,Fuel,20.0,,0
2024-10-19,Subscriptions,4.5,,0
2024-10-19,Haircut,10.0,,0
2024-10-18,Fun,7.0,,0
2024-10-16,Supermarket,36.0,,0
2024-10-14,Mprikis,7.5,,0
2024-10-14,Supermarket,33.0,,0
2024-10-14,Health,10.0,,0
2024-10-13,Fun,8.0,,0
2024-10-13,Fun,15.0,,0
2024-10-12,Supermarket,6.0,,0
2024-10-12,Fun,25.0,,0
2024-10-10,Supermarket,28.0,,0
2024-10-10,Other,30.0,,0
2024-10-09,Job,890.0,,1
2024-10-09,Parking,30.0,,0
2024-10-09,Gym,50.0,,0
2024-10-09,Fuel,22.0,,0
2024-10-09,Fun,6.0,,0
2024-10-09,Subscriptions,6.5,,0
2024-10-09,Fun,6.0,,0
2024-10-09,Fun,8.5,,0
2024-10-09,Supermarket,17.2,,0
2024-10-09,Me,3.0,,0
2024-10-08,Supermarket,3.5,,0
2024-10-08,Other,30.0,,0
2024-10-07,Building fees,24.0,,0
2024-10-07,Vacation,20.0,,0
2024-10-07,Vacation,25.0,,0
2024-10-07,Electricity,45.0,,0
2024-10-07,Vodafone,31.0,,0
2024-10-07,Education,25.0,,0
2024-10-07,Vacation,7.0,,0
2024-10-06,Vacation,45.0,,0
2024-10-05,Vacation,44.0,,0
2024-10-04,Vacation,110.0,,0
2024-10-03,Supermarket,16.0,,0
2024-10-02,Vodafone,11.0,,0
2024-10-02,Rent,262.0,,0
2024-10-02,Vacation,91.0,,0
2024-10-02,Vacation,20.0,,0
2024-10-01,Vacation,60.0,,0
2024-10-01,Fun,2.0,,0
2024-09-30,Fun,7.5,,0
2024-09-30,Fun,7.0,,0
2024-09-30,Fun,4.0,,0
2024-09-30,Vacation,19.0,,0
2024-09-30,Supermarket,6.0,,0
2024-09-30,Vacation,10.0,,0
2024-09-30,Job,706.0,,1
2024-09-30,Me,140.0,,0
2024-09-29,Vacation,10.0,,0
2024-09-29,Vacation,10.0,,0
2024-09-29,Vacation,18.0,,0
2024-09-28,Vacation,20.0,,0
2024-09-27,Other,15.5,,0
2024-09-27,Vacation,46.0,,0
2024-09-26,Supermarket,8.0,,0
2024-09-26,Gifts,20.0,,0
2024-09-26,Fun,24.0,,0
2024-09-26,Fun,14.5,,0
2024-09-24,Fun,7.0,,0
2024-09-24,Mprikis,12.0,,0
2024-09-24,MOTOmaintenance/oil/insurance,18.0,,0
2024-09-24,Fun,3.5,,0
2024-09-23,Other,18.0,,0
2024-09-22,Me,21.0,,0
2024-09-22,Fun,8.0,,0
2024-09-22,Supermarket,37.0,,0
2024-09-21,Fun,15.0,,0
2024-09-19,Fuel,25.0,,0
2024-09-19,Fun,5.0,,0
2024-09-19,Fun,2.2,,0
2024-09-19,Haircut,10.0,,0
2024-09-19,Gifts,17.5,,0
2024-09-18,Fun,20.0,,0
2024-09-18,Fuel,5.0,,0
2024-09-18,Supermarket,7.6,,0
2024-09-17,Supermarket,4.0,,0
2024-09-17,Other,6.5,,0
2024-09-17,Fun,22.0,,0
2024-09-16,Supermarket,10.5,,0
2024-09-16,Subscriptions,5.0,,0
2024-09-14,Fun,8.0,,0
2024-09-14,Fun,17.0,,0
2024-09-14,Fun,10.0,,0
2024-09-13,Gifts,9.0,,0
2024-09-13,Health,5.0,,0
2024-09-13,Fun,5.0,,0
2024-09-13,Fun,14.0,,0
2024-09-11,Fun,2.0,,0
2024-09-11,Supermarket,22.0,,0
2024-09-10,Supermarket,9.0,,0
2024-09-10,Fun,5.0,,0
2024-09-10,Supermarket,6.5,,0
2024-09-10,Mprikis,12.0,,0
2024-09-09,Fun,9.0,,0
2024-09-09,Education,6.2,,0
2024-09-08,Fun,25.0,,0
2024-09-07,Other,6.5,,0
2024-09-07,Electricity,59.0,,0
2024-09-07,Fun,10.0,,0
2024-09-06,Health,14.0,,0
2024-09-06,Fun,4.5,,0
2024-09-06,Gym,50.0,,0
2024-09-05,Supermarket,40.0,,0
2024-09-05,Education,25.0,,0
2024-09-05,Supermarket,30.0,,0
2024-09-05,Fun,30.0,,0
2024-09-04,Fun,6.0,,0
2024-09-04,Job,900.0,,1
2024-09-04,Supermarket,14.0,,0
2024-09-03,Fun,11.0,,0
2024-09-03,Fuel,23.0,,0
2024-09-03,Fun,2.0,,0
2024-09-03,Parking,30.0,,0
2024-09-02,Rent,262.0,,0
2024-09-02,Supermarket,11.0,,0
2024-09-01,Fun,11.0,,0
2024-08-31,Fun,51.0,,0
2024-08-31,Other,25.0,,0
2024-08-30,Supermarket,6.0,,0
2024-08-30,Haircut,10.0,,0
2024-08-30,Fun,4.0,,0
2024-08-30,Job,706.0,,1
2024-08-29,Fun,6.0,,0
2024-08-29,Fun,6.0,,0
2024-08-29,Supermarket,19.0,,0
2024-08-29,Other,28.0,,0
2024-08-29,Vacation,35.0,,0
2024-08-29,Vacation,20.0,,0
2024-08-28,Vodafone,15.0,,0
2024-08-27,Other,17.0,,0
2024-08-27,Vacation,24.0,,0
2024-08-26,Vacation,36.0,,0
2024-08-25,Vacation,12.0,,0
2024-08-25,Fuel,60.0,,0
2024-08-24,Gifts,17.2,,0
2024-08-24,Fun,7.0,,0
2024-08-23,Fun,2.0,,0
2024-08-23,Supermarket,5.0,,0
2024-08-23,Vacation,4.0,,0
2024-08-22,Supermarket,13.0,,0
2024-08-22,Mprikis,8.0,,0
2024-08-21,Supermarket,17.0,,0
2024-08-21,Health,5.0,,0
2024-08-20,Supermarket,10.0,,0
2024-08-20,Fun,5.0,,0
2024-08-20,Health,5.0,,0
2024-08-19,Vacation,8.0,,0
2024-08-19,Fun,7.0,,0
2024-08-19,Other,5.0,,0
2024-08-17,Vodafone,31.5,,0
2024-08-15,Vacation,256.0,,0
2024-08-14,Vacation,13.0,,0
2024-08-14,Fun,6.5,,0
2024-08-13,Fuel,20.0,,0
2024-08-13,Supermarket,20.0,,0
2024-08-13,Fun,9.5,,0
2024-08-13,Fun,2.2,,0
2024-08-11,Electricity,35.0,,0
2024-08-11,Fun,15.0,,0
2024-08-11,Water,13.0,,0
2024-08-11,Fun,4.0,,0
2024-08-11,Building fees,23.0,,0
2024-08-10,Vacation,250.0,,0
2024-08-09,Fun,5.0,,0
2024-08-09,Fun,9.0,,0
2024-08-08,Fun,12.5,,0
2024-08-08,Haircut,10.0,,0
2024-08-07,Gifts,50.0,,0
2024-08-06,Supermarket,10.8,,0
2024-08-06,Other,57.0,,0
2024-08-06,Mprikis,13.0,,0
2024-08-06,Other,40.0,,0
2024-08-06,Health,11.8,,0
2024-08-05,Other,16.0,,0
2024-08-05,Vacation,68.0,,0
2024-08-05,Education,25.0,,0
2024-08-05,Fun,2.0,,0
2024-08-05,Supermarket,8.0,,0
2024-08-05,Supermarket,36.0,,0
2024-08-05,Fuel,20.0,,0
2024-08-05,Job,1350.0,,1
2024-08-05,Parking,30.0,,0
2024-08-04,Vacation,15.0,,0
2024-08-04,Rent,260.0,,0
2024-08-03,Vacation,4.5,,0
2024-08-02,Supermarket,18.0,,0
2024-08-02,Vacation,5.0,,0
2024-08-01,Vacation,37.0,,0
2024-07-31,Vacation,63.0,,0
2024-07-30,Vacation,45.0,,0
2024-07-30,Vacation,5.0,,0
2024-07-30,Fun,12.0,,0
2024-07-29,Fun,11.0,,0
2024-07-29,Other,10.0,,0
2024-07-29,Other,30.0,,0
2024-07-29,Job,1060.0,,1
2024-07-29,Supermarket,3.5,,0
2024-07-28,Vodafone,15.0,,0
2024-07-28,Fun,16.0,,0
2024-07-27,Supermarket,4.0,,0
2024-07-27,Other,5.0,,0
2024-07-27,Me,33.0,,0
2024-07-27,Fun,9.5,,0
2024-07-26,MOTOmaintenance/oil/insurance,20.0,,0
2024-07-26,Health,6.0,,0
2024-07-24,Supermarket,7.0,,0
2024-07-24,Fun,5.0,,0
2024-07-24,Other,10.0,,0
2024-07-24,Fun,10.0,,0
2024-07-23,Fuel,82.0,,0
2024-07-23,Fun,12.0,,0
2024-07-22,Rent,20.0,,0
2024-07-22,Health,6.5,,0
2024-07-22,Fun,18.5,,0
2024-07-22,Supermarket,12.0,,0
2024-07-21,Supermarket,13.0,,0
2024-07-20,Vacation,10.0,,0
2024-07-20,Vacation,20.0,,0
2024-07-19,Vacation,16.0,,0
2024-07-19,Vacation,41.0,,0
2024-07-19,Vacation,27.0,,0
2024-07-18,Other,75.0,,0
2024-07-18,Me,50.0,,0
2024-07-18,Vacation,25.0,,0
2024-07-17,Vacation,10.0,,0
2024-07-16,Vacation,9.0,,0
2024-07-16,Vacation,17.0,,0
2024-07-13,Vacation,15.0,,0
2024-07-13,Supermarket,7.5,,0
2024-07-13,Supermarket,27.0,,0
2024-07-13,Fun,3.5,,0
2024-07-11,Other,198.0,,0
2024-07-11,Fun,7.0,,0
2024-07-10,Supermarket,7.0,,0
2024-07-10,Fuel,20.0,,0
2024-07-10,Fun,3.0,,0
2024-07-10,Other,28.0,,0
